"ID","Inquiry","CASENUMBER","COMMENTSCREATEON","ANALYSTNAMEFORCOMMENT","ACTIVITYTYPE","NOTETEXT"
1247,"PE14-030","CAS-2490467-Q0L4N0","2013-04-25 21:23:27",,"CASE","-CUST CALLED TO SAY THAT THE DEALR IS WAITING ON AUTHORIZATION ON THE STEERING PART..-CRC ADVISED CUST TO CALL BACK IF DEALR COULD NOT GET AUTHORIZATION"
1248,"PE14-030","CAS-2506483-V9G2X9","2013-04-27 13:43:18",,"CASE","CUST:..-cust said dlr offered to pay 400 of a 1400 repair..-cust does not feel that is enough..---------------------..CRC:..-did not see any doc as to fin assist being approved..-adv cust I could escalate to csm to review but cust wanted a supervisor..-stated he returned rental today and now does not have a veh..-adv sup c/b in a.m on 4/26..-call cust at: (REDACTED)..---------------------..SYMPTOMS:..-steering went out ..-1400 to repair"
1249,"PE14-030","CAS-2508938-X3G5Y3","2013-04-29 13:31:34",,"CASE","==== CUST SAYS..= POWER STEERING WENT OUT..= TURNED ON THE VEH, ALARM WENT ON, SERVICE POWER STEERING NOW, COULDNΓÇÖT TURN WHEEL..= NEED TOWING..= OUT OF THE BLUE, TOOK CHILD TO SCHOOL THIS MORNING, ..==== DLRSHP..= MULLINAX FORD..AMERST..==== CRC SAYS..= ORIGINAL CALL 4/26/2013 ΓÇô CRC UPDATED 4/27/2013 DUE TO SYSTEM ISSUES GETTING CASE/DOCUMENTATION TO LOAD INTO SYSTEM..= TRANSFERRED CALL TO ROADSIDE ASSIST"
1250,"PE14-030","CAS-2512040-L6Z9K7","2013-04-29 19:00:46",,"CASE","3FAHP0HA4BRXXXXXX..REG OWNER CALLING IN:..ROBIN STIPLE....**VEH INFORMATION**..2011 FORD FUSION..22,000....**CUSTOMER STATES**..VEH HAS NO POWER STEERING ..TURNED VEH ON ..HEARD A BEEPING NOISE ..LIGHT ILLUMINATED ON DASH..VEH WAS VERY DIFFICULT TO TURN. ..DROVE VEH ABOUT 1 MILE TO HER BROTHERS INDEPENDANT REPAIR FACILITY AND HE DIAGNOSED VEH AS NO POWER STEERING. ..VEH HAS NOT YET BEEN TO DLRSHP..CUSTOMER WANTING TO TOW THE VEH TO CANDY FORD IN CHALLOTE, MI ....**CRC ADV**..DLRSHP IS WITHIN THE 35 MILE LIMIT FOR TOWNING. ..WILL TRANSFER TO ROADSIDE."
1252,"PE14-030","CAS-2516186-T4Y2C1","2013-04-30 15:53:37",,"CASE","CUSTOMER SAYS:..**2010 FUSION**..***INTERNAL FAILURE IN THE POWER STEERING MODULE**..**CUSTOMER PAY OF $1600**..**CUSTOMER IS SEEKING ASSISTANCE** ....++++++++++++++++++++++++++++++++++++++..DEALER:..Rudig Jensen Ford, Inc...1000 Progress Rd...New Lisbon, WI 53950..(888) 206-2920 ..++++++++++++++++++++++++++++++++++++++..CRC:..After reviewing my resources, there are no warranties or programs in effect that would provide coverage of your current concern. I recommend that if you keep your receipts in case Ford initiates a recall in the future based on customer feedback...**ADVISED PER PHRASEOLOGY**"
1253,"PE14-030","CAS-2517566-C8Z2T8","2013-04-30 18:28:50",,"CASE","CUST SAYS-..1--high effort steering. ..---happened on 4/19/201..---took the veh to the dlrship..---started having concerns when she purchased the veh..---seeking warranty coverage of power steering..---wants to know if an esp would have covered this..---wants to know how to get an esp....DLR-..Bob Maxey Ford, Inc...1833 E. Jefferson Ave...Detroit, MI 48207..(313) 392-9200 ......CRC ADVISED-..After reviewing my resources, there are no warranties or programs in effect that would provide coverage of your current concern...***..-adv cust power steering is not covered under powertrain warranty, only btb..-adv cust that some esps may cover these kinds of repairs..-adv cust that she can speak with fi manager at dlr or visit owner.ford.com for esp quotes, but she would have to pay for this repair."
1254,"PE14-030","CAS-2517566-C8Z2T8","2013-05-01 14:24:52",,"CASE","3FAHP0JG3CRXXXXXX ....Customer says he was driving the vehicle while traveling away form home and the warning light came on and the customer could not steer the vehicle. He brought it to the nearest Ford dealer today. It needs control arms and rack and pinion. ..It would cost $2100 the customer is seeking financial assistance. ......CRC ADVISED: I will escalate your case/request to the Service Manager at your dealership. The Service Manager will work with their assigned Ford Customer Service Manager to ensure that all resources available through Ford Motor Company are utilized to assist you. You can expect a call from the Service Manager at your dealership or from the Ford Regional Customer Service Manager within 4 business days. We encourage you to stay in touch with your Service Manager for updates regarding your case. The case number that I have established for you today is CAS-2517588-c8z2t8"
1255,"PE14-030","CAS-2517566-C8Z2T8","2013-05-07 18:05:03",,"CASE","Csm Autumn x77763ΓÇö Sub Owner -2012 ford fusion OBC to dealer and spoke to S/A Brooks and he advised that the customer has 36,642 miles on the vehicle. S/A advised that the customer bought the vehicle used from Avis ΓÇôThe customer has TSb 11-11-3 and needs control Arms and rack and pinion replaced . csm advised that no assistance will be provided at this point and time . csm recommended the customer going to the rental company for possible assistance . S/A will contact customer . csm will follow up with dealer only on 05-07-2013 to ensure customer is contacted"
1256,"PE14-030","CAS-2517566-C8Z2T8","2013-05-07 18:07:45",,"CASE","Csm Autumn x77763ΓÇöOBC to dealer and spoke to S/A Ryan and he advised that he will speak with Brooks When he gets back and ensure that the customer is contacted ."
1257,"PE14-030","CAS-2525905-M8P1H8","2013-05-02 14:56:50",,"CASE","Csm Autumn x77763ΓÇöOBC to dealer and spoke to S/A Brooks and he advised that he advised that he spoke to the customer yesterday and the dealer provided the customer warranty rates for the repair . csm closing case ."
1268,"PE14-030","CAS-2529238-K5R3T6","2013-05-02 21:51:03",,"CASE","VIN/CASE: 3FAHP0HA4ARXXXXXX..MAKE/YEAR: FUSION 2010..MILES: 44,000....NAME: (REDACTED) (REDACTED)..PHONE: (REDACTED) HOME..LTV: ORIGINAL OWNER........***CUSTOMER STATED***..-POWER STEERING FAIL..-SHOULD LAST OVER 100,000..-LOOKED ON INTERNET TO SEE THAT THIS IS A RECURRENT ISSUE ..-ON INTERNET CUST SAW ONCE VEHICLE HITS OVER 36,000 FMC REFUSES TO COVER ISSUE..-REQUIRES A LOT OF EFFORT..-THIS IS A SAFETY ISSUE WITH MY VEHICLE....***DEALER INFO***..All American Ford Inc...520 River Street..Hackensack, NJ 07601..(201) 487-6700 ....***CRC ADVISED***..-We recommend that your vehicle be inspected by a Ford/Lincoln dealership to determine the cause of any symptoms your vehicle may be experiencing...- If there is no coverage under applicable warranties, recalls, or ESPs, repairs and services would be your responsibility. Your next step is to make an appointment with your servicing dealership to have your vehicle diagnosed."
1269,"PE14-030","CAS-2533108-L4Q0N0","2013-05-03 19:48:33",,"CASE","2010 FORD FUSION ..VIN: 3FAHP0HAXARXXXXXX ..MILES: 83504..N/S WSD:31-OCTOBER-2009 ..NO ESP/CSP/WARRANTIES ....JUSTIN BODILY..1540 RIVIERA DR ..IDAHO FALLS ID 83406..PHONE: (REDACTED) MOBILE ........CUST: ..- pOWER STEERING WENT OUT OCCURED TODAY STEERING WHEEL IS HARD TO TURN..- TOOK TO THE DLR THEY QUOUTED ABOUT 1200 FOR PARTS AND LABOR CUST WORKING WITH JASON. CUST IS STILL AT THE DLR FOR THE REPAIR. CUST SEEKING WARRANTY INFORMATION OR REPAIR ASSISTANCE ....DLR:..-Broadway Ford Inc..980 West Broadway..Idaho Falls, ID 83402..(208) 525-8500 ....CCR:..- After reviewing my resources, there are no warranties or programs in effect that would provide coverage of your current concern. I recommend that if you keep your receipts in case Ford initiates a recall in the future based on customer feedback."
1270,"PE14-030","CAS-2536997-F2P0V7","2013-05-06 13:46:43",,"CASE","3FAHP0HA0BRXXXXXX REG OWNER CALLING IN""..(REDACTED) ..(REDACTED)-CELL ....**VEH INFORMATION**..2011 FORD FUSION..68,000....**CUSTOMER STATES**..VEH WOULD BE STIFF WHEN TURNING ..INDICATOR LIGHT STATED CHECK POWER STEERING NOW LIGHT ..CUSTOMER TOOK VEH INTO DLRSHP..VEH HAS BEEN DIAGNOSED AS NEEDING A NEW RACK AND PINION. ..REPAIR COST $1270.00..CUSTOMER IS SEEKING FIN ASSIST FOR THIS REPAIR. ....**DLRSHP INFORMATION**......**CRC ADV**..After reviewing my resources, there are no warranties or programs in effect that would provide coverage of your current concern. I recommend that if you keep your receipts in case Ford initiates a recall in the future based on customer feedback."
1271,"PE14-030","CAS-2536997-F2P0V7","2013-05-06 14:34:25",,"CASE","***CUST SAID***..===SHE CALLED TO SPEAK TO SOMEONE IN THE EXECUTIVE OFFICE AND THEY TRANSFERRED HER TO US AND TOLD HER THAT SHE NEEDED TO GET A CASE NUMBER AND BE TRANSFERRED BACK TO THEM..===THE LIGHT CAME ON SAYING SERVICE POWER STEERING, HE CAN'T TURN THE WHEEL..===IT IS LIKE IT IS LOCKED..===THE VEH HASN'T BEEN TO THE DLRSHP, BECAUSE IT COST $100..===HE TOOK THE VEH IN FOR AN OIL CHANGE ON SATURDAY AND THE STEERING PROBLEM STARTED ON 05/05/13 (THEY AREN'T SURE IF THE DRSLHP IS MESSING WITH THE VEH)..===THE LAST TIME HE TOOK THE VEH IN FOR AN OIL CHANGE HE HAD THROTTLE BODY PROBLEMS AFTER WARDS..===LTV A/Z....***DLR***..Capital Ford Inc---00978..4900 Capital Blvd...Raleigh, NC 27616..(919) 724-4306 ....***CRC ADVISED***..===THERE ARE NO RECALLS, OR CSPS ON THIS VEH..===TRANSFERRED HER TO THE NUMBER SHE CALLED 313-322-3000..==================..We recommend that your vehicle be inspected by a Ford/Lincoln dealership to determine the cause of any symptoms your vehicle may be experiencing. Your local Ford/Lincoln dealership has factory-trained technicians, the most current engineering service information, and the specialized equipment required to resolve your vehicle concerns. If there is no coverage under applicable warranties, recalls, or ESPs, repairs and services would be your responsibility. Your next step is to make an appointment with your servicing dealership to have your vehicle diagnosed. (REFER TO NEAREST LOCAL DEALER OR SERVICING DEALER OF CHOICE)"
1272,"PE14-030","CAS-2537390-Y6F7D0","2013-05-06 14:38:02",,"CASE","**CUSTOMER STATES**..REF CASE NUMBER: CAS-2536997-F2P0V7..SPOKE WITH MISS WILLIAMS-STATED NO ONE ABOVE HER. FEELS THAT IT IS NOT FAIR THAT THERE WAS NO ONE ABVE MISS WILLIAMS TO SPEAK WITH. ..WANTS TO FILE A COMPLAINT ..POWER STEERING IS LOCKING UP ON THE VEH. ..CAUSING THE VEH TO BE UNABLE TO TURN IN EITHER DIRECTION. ..ISSUE STARTED ON 5/5/13..VEH HAS NOT BEEN DIAGNOSED BY THE LOCAL FORD DLRSHP. ..VEH WOULD NEED TO BE TOWED TO THE DLRSHP ..CUSTOMER IS SEEKING ASSISTANCE WITH THE REPAIR COST DUE TO FEELS THIS SHOULD NOT BE OCCURRING AT THIS MILAGE. ..VEH IS IN ANOTHER STATE FROM THE CUSTOMER WITH HER GRANDSON AT COLLEGE....**CRC ADV**..Thank you for providing Ford Motor Company with your comments; your opinions are valuable to us. I have documented your experience and appreciate you calling us today."
1273,"PE14-030","CAS-2537390-Y6F7D0","2014-03-14 14:26:27",,"CASE","**CUSTOMER STATES**..REF CASE NUMBER: CAS-2536997-F2P0V7..SPOKE WITH MISS WILLIAMS-STATED NO ONE ABOVE HER. FEELS THAT IT IS NOT FAIR THAT THERE WAS NO ONE ABVE MISS WILLIAMS TO SPEAK WITH. ..WANTS TO FILE A COMPLAINT ..POWER STEERING IS LOCKING UP ON THE VEH. ..CAUSING THE VEH TO BE UNABLE TO TURN IN EITHER DIRECTION. ..ISSUE STARTED ON 5/5/13..VEH HAS NOT BEEN DIAGNOSED BY THE LOCAL FORD DLRSHP. ..VEH WOULD NEED TO BE TOWED TO THE DLRSHP ..CUSTOMER IS SEEKING ASSISTANCE WITH THE REPAIR COST DUE TO FEELS THIS SHOULD NOT BE OCCURRING AT THIS MILAGE. ..VEH IS IN ANOTHER STATE FROM THE CUSTOMER WITH HER GRANDSON AT COLLEGE....**CRC ADV**..Thank you for providing Ford Motor Company with your comments; your opinions are valuable to us. I have documented your experience and appreciate you calling us today."
1274,"PE14-030","CAS-2542669-K4V2K7","2013-05-07 13:51:29",,"CASE","**Executive Liaison IBC: Caller (veh owner's mother, Camilla Cumberlander) has 2 inquires: is there a recall re: the throttle body for this veh, as they paid a portion of the part's replacement in 2012 w/ partial assist by FMC then. Also, any recalls re: this veh's power steering system, as it went out while driving the veh, and was a cust pay repair fully (over $1k).....-Researched, then advised the caller of CSP 13N03 for the throttle body, directing her to take the paid repair receipt to a Ford/Lincoln S/M for eligibility determination and processing, if applicable. Also advised of no power steering-related recalls/other for the veh, advising that the paid repair receipt be retained in case of a CSP or future recall from FMC. No further action required at this time/call ended."
1275,"PE14-030","CAS-2542669-K4V2K7","2013-05-07 13:55:02",,"CASE","By JEFFREY MEDURE  - Customer had service advance track light came on and vehicle would not steering just like her last fusion did. Scanned for codes found c1277 and c200, pinpoint test says replace steering gear. The customer is at 41391 and is frustrated. This is the second time on two fusions and the customer would like assistance. Dealer requests assistance on loyal customer. Last time the customer paid over 700.00 for half of the repair and dealer paid the other half and customer refuses to pay any this time."
1276,"PE14-030","CAS-2542669-K4V2K7","2013-05-08 12:45:11",,"CASE","By JEFFREY MEDURE  - Total warrenty repair is 1,488.92 with 5 days rental vehicle for customer."
1277,"PE14-030","CAS-2542669-K4V2K7","2013-05-17 20:40:57",,"CASE","obc to dlr--spoke with sm jeff about veh concern---sm stated that this is the 2nd fusion cust purchased and the elect.steering gear went out--csm adv sm that ford would assist with $1000---cust $100---dlr $388.92---csm also stated he would add a extracare 3/36 to veh--sm to call back when veh is repaired---fu 05/17/2013"
1278,"PE14-030","CAS-2542669-K4V2K7","2013-05-23 17:46:26",,"CASE","obc to dlr--spoke with sm jeff---sm relayed to csm that veh has been repaired and will get with wty admin for the prices on fri 05/24/2013"
1279,"PE14-030","CAS-2542669-K4V2K7","2013-05-24 13:19:11",,"CASE","obc to dlr---spoke with sm jeff---sm stated he would update case and enter wty pricing--sm will let csm know when entered---fu 05/28/2013"
1280,"PE14-030","CAS-2542669-K4V2K7","2013-05-24 13:46:34",,"CASE","csm generated code for elect steering gear---ro 91792---line a ---m09z5--p11---csm uploading extracare 3/36---"
1283,"PE14-030","CAS-2560888-K7K8H8","2013-05-10 13:03:44",,"CASE","csm closing case"
1284,"PE14-030","CAS-2571594-K4W6V8","2013-05-13 20:28:06",,"CASE","CUSTOMER SAYS:..**POWER STEERING FAILURE YESTERDAY 5/9/2013**..**POWER STEERING FAILURE LIGHT CAME ON, BUT LATER THE POWER STEERING WORKED FINE**..++++++++++++++++++++++++++++++++++++++..DEALER:..Ford Lincoln of Franklin..1129 Murfreesboro Rd...Franklin, TN 37064..(615) 794-4585 ..++++++++++++++++++++++++++++++++++++++..CRC:..We recommend that your vehicle be inspected by a Ford/Lincoln dealership to determine the cause of any symptoms your vehicle may be experiencing. Your local Ford/Lincoln dealership has factory-trained technicians, the most current engineering service information, and the specialized equipment required to resolve your vehicle concerns. If there is no coverage under applicable warranties, recalls, or ESPs, repairs and services would be your responsibility. Your next step is to make an appointment with your servicing dealership to have your vehicle diagnosed. (REFER TO NEAREST LOCAL DEALER OR SERVICING DEALER OF CHOICE)....**ADVISED PER PHRASEOLOGY**"
1285,"PE14-030","CAS-2573616-W0S9T0","2013-05-14 13:57:22",,"CASE","By NINA MARTINELL - Steering has become so stiff it is extremely hard to turn."
1286,"PE14-030","CAS-2573616-W0S9T0","2013-05-14 14:00:46",,"CASE","LTV: USED-..---------------------..CUST:..-SEEKING FIN ASSIST..-VEH WITH CUST..---------------------..CRC:..-CUST DELEGATE HAS MANY FORD VEH AND ACTUALLY PURCHASED THIS FOR HIS DAUGHTER..-ADV 2 DAY C/B..---------------------..SYMPTOMS:..-STEERING BOX GEAR, RACK AND PINION..-1800..-MAKING AN ODD NOISE..-INTERMITTENT LOSS OF POWER STEERING..---------------------..DEALER:..-Moon Township Ford..5304 University Blvd..Moon Township, PA 15108..(412) 269-2255"
1287,"PE14-030","CAS-2573616-W0S9T0","2013-05-16 14:36:51",,"CASE","-PLEASE CALL DELEGATE WITH ALL DETAILS"
1288,"PE14-030","CAS-2573616-W0S9T0","2013-05-17 20:59:58",,"CASE","LTV N/S, wsd 12-11-09, 53450 miles, no esp, gas engine..>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>..OBC to SM Rob 412-264-2360 who advised that this is a very good sales and service cust. SM advised that he will help out if csm is willing to offer some asst but that cust will have to pay a large portion. CSM advised that will cover 40% at warranty rates and sm advised will cover 10%. SM will email csm warranty rates. ..>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>..OBC to cust (REDACTED) (REDACTED) lm on vm to call back"
1289,"PE14-030","CAS-2573616-W0S9T0","2013-05-21 14:28:08",,"CASE","CSM waiting on warranty rates from sm"
1290,"PE14-030","CAS-2573616-W0S9T0","2013-05-22 19:32:03",,"CASE","By ROBERT KUSLUCH  - Provided warranty cost in E-mail as requested by CRC"
1291,"PE14-030","CAS-2573616-W0S9T0","2013-05-30 15:24:13",,"CASE","IB email from sm who advised that warranty rates are $1222.22. CSM covering $488.89 and dlr covering $122.22 with cust balance being $611.11. SM advised that he will call the cust and advise of the asst"
1292,"PE14-030","CAS-2573616-W0S9T0","2013-06-04 16:34:14",,"CASE","IB email from cust who advised that the cust has accepted the good will offer and will be bringing the veh in on 5-31 for repairs."
1293,"PE14-030","CAS-2573616-W0S9T0","2013-06-05 16:31:18",,"CASE","By ROBERT KUSLUCH  - Completed repair Friday May 31, 2013 Customer paid his portion of the repair.Sent E-mail to CRM waiting on P11 code"
1294,"PE14-030","CAS-2574260-K6M4X7","2013-05-14 15:10:26",,"CASE","IB email from SM Rob who advised that repair is complete and cust has paid thier portion of the repair. RO is 201935, line a total amt $478.27 and is in aces. CSM checked and saw no entries for ro provided...>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>..OBC to SM Rob 412-264-2360 csm gave code for good will asst P11 M05EH"
1297,"PE14-030","CAS-2584020-M9R7F0","2013-05-16 14:12:21",,"CASE","-2012 FUSION..-3FAHP0JG1CRXXXXXX..-34,000 MILES..-CUST STATES THAT HE IS HAVING A PROBLEM WITH POWER STEERING ASSIST FAILURE LIGHT CAME ON AND THE POWER STEERING STOPPED WORKING ..-CUST TOOK THE VEH TO THE DLRSHP, HAD THE VEH DIAGNOSED...-NEEDS A NEW STEERING RACK FOR FOR $1700..-THE CUST HAS BEEN SPEAKING.. WITH NOEL FORD ..-THE CUST WOULD LIKE FMC TO ASSIST FINANCIALLY ..*CRC ADVISED*After reviewing my resources, there are no warranties or programs in effect that would provide coverage of your current concern. I recommend that if you keep your receipts in case Ford initiates a recall in the future based on customer feedback."
1298,"PE14-030","CAS-2587111-R5W0D1","2013-05-16 20:37:18",,"CASE","***CUST SAYS:..-POWER STEERING IS NOT WORKING ..-STEERING WHEEL IS HARD TO TURN..-HAS BEEN HAVING THE ISSUE FOR 2 WEEK ..-FORD DLR SAYS $100 TO DIAGNOSE..-VEH NOT DIAGNOSED ..-CUST CALLING TO IF THE VEH IS STILL UNDER WTY......***DLR INFO:..Sam Galloway Ford Lincoln..1800 Boy Scout Drive..Fort Myers, FL 33907..(239) 936-3673 ....***CRC ADV:..After reviewing my resources, there are no warranties or programs in effect that would provide coverage of your current concern. I recommend that if you keep your receipts in case Ford initiates a recall in the future based on customer feedback."
1299,"PE14-030","CAS-2587111-R5W0D1","2013-05-17 14:14:33",,"CASE","- while attempting to make a left hand turn the power steering went out ..- veh is currently at the dlr ..- dlr adv the electronic control module needs to be replaced repairs will cost almost $2000..- cust seeking fin assist with the repair cost ..- crc adv I will escalate your case/request to the Service Manager at your dealership You can expect a call from the Service Manager at your dealership or from the Ford Regional Customer Service Manager within 4 business days"
1300,"PE14-030","CAS-2587111-R5W0D1","2013-05-17 17:35:50",,"CASE","By Marie DelDonna  - VEHICLE HAS NEVER BEEN TO THIS DEALERSHIP AND WAS NOT PURCHASED HERE. NO ASSISTANCE."
1301,"PE14-030","CAS-2587111-R5W0D1","2013-05-21 14:56:02",,"CASE","OBC to DLR, CSM JBranne4 spoke to Doug, advised that the customer is not loyal and they are not providing any assistance towards the repair request. CSM will provide $600 in financial assistance towards the power steering module that needs to be replaced. Warranty Rate is: $1700. Customer will pay $1100.....MY OFFER: ..Offer: Customer: $1100..Expiration May 31st......OBC to Customer, CSM JBranne4 spoke to (REDACTED), at (REDACTED), advised the call is recorded and there is a brief survey at the end of the call. CSM explained role and listened to customerΓÇÖs concerns. Customer explained that he was driving and the power steering went completely out, almost causing an accident. He had purchased his vehicle new at Mall of Georgia Ford. He has 46,000 miles on the vehicle and is outside BTB. Complained that his payments are high and is requesting some assistance with this repair. ....CSM is offering the customer assistance, and the customer will owe $1100 for the repair and will not include any additional expenses that he incurs. Customer accepted the offer, where he will pay $1100. CSM will follow up on Thursday, 05/23/13 to see if customerΓÇÖs vehicle has been repaired and released.....OBC to DLR, CSM JBranne4 spoke to Doug, to confirm that customer accepted the offer. Doug hopes to get the part in and repaired by Monday or Tuesday, 05/20 or 05/21. Informed DLR to please contact me when vehicle is repaired to give code authorization for the $600 that CSM is assisting with."
1302,"PE14-030","CAS-2593506-L7P3N6","2013-05-25 23:28:29",,"CASE","========== CSM RECEIVED IBC FROM DLR === TOOK CALL LIVE == SPOKE TO DOUG S/A === ADVISED THAT THE VEH HAS BEEN REPAIRED === DLR SEEKING CODE FOR CSM PORTION OF REPAIR ==== P&A 03573 == RO 306609 == LINE ""A"" == TOTAL 600.00 == P11 CODE M06NS ========= NO FURTHER ACTION IS REQUIRED FROM CSM === CASE CLOSED ==================="
1303,"PE14-030","CAS-2595849-V2L0F4","2013-05-20 15:44:26",,"CASE","CUST SAYS:..CASE ID: CAS-2593506-L7P3N6..-WIFE HAD A STEERING SYSTEM FAILURE (EPAS RACK & PINION) IN OUR 2012 FOOD FUSION, NARROWLY AVOIDING AN ACCIDENT TWICE, IN AS MANY DAYS..-THE ""SERVICE ADVANCETRAC"" AND ""POWER STEERING ASSIST FAULT"" MESSAGES APPEARED IN THE DASHBOARD MESSAGE CENTER WHILE DRIVING, IMMEDIATELY FOLLOWING AN ALMOST COMPLETE LOSS OF STEERING CONTROL..-THIS IS A MAJOR SAFETY ISSUE, AND ONE THAT SHOULD NOT BE TAKEN LIGHTLY..-DLR HAS OFFERED A DISCOUNT ON THE PARTS AND LABOR, BUT THE BILL WILL STILL COME CLOSE TO $1400.00..-VEH HAS ALREADY HAD TRANS FAILURE, A STARTER FAILURE, AND A FLYWHEEL FAILURE, UNDER WARRANTY..-THIS IS APPEARING TO BE A VERY COMMON ISSUE, AND ONE THAT SHOULD BE ADDRESSED, AS CAN BE SEEN BY VIEWING THE NHTSA WEBSITE AND VARIOUS FORD OWNER FORUMS..-WOULD LIKE FORD TO REPLACE THE EPAS RACK & PINION AS A GOODWILL GESTURE AND IN THE INTEREST OF SAFETY AND GOOD LONG TIME CUSTOMER RELATIONS ..***..CRC ADVISED:..-ACKNOWLEDGED CUSTΓÇÖS LOYALTY..-SUPPORTED DOCUMENTATION ON CAS-2596511-W8F5S0..***..CERRITOS FORD LINCOLN..18900 STUDEBAKER ROAD..CERRITOS, CA 90703..(562) 405-3545"
1304,"PE14-030","CAS-2596511-W8F5S0","2013-05-20 17:02:29",,"CASE","3FAHP0HG9ARXXXXXX..REG OWNER CALLING IN:..RYAN BEST....**VEH INFORMATION**..2010 FORD FUSION..70000....**CUSTOMER STATES**..POWER STEERING PUMP NOT CURRENTLY WORKING..INDICATOR LIGHT ON DASH FOR POWER STEERING FLASHED ..WHEN CUST ATTEMPTED TO TURN VEH BACK ON THE STEERING WHEEL WOULD NOT TURN. ..THIS OCCURRED YESTERDAY ..VEH HAS NOT YET BEEN TO DLRSHP FOR DIAGNOSIS ..CUSTOMER SEEKING ROADSIDE ASSISTANCE. ....**DLRSHP INFORMATION**..ROUNDTREE FORD ....**CRC ADV**..TRANSFER TO ROADSIDE. PROVIDED CONTACT NUMBER."
1305,"PE14-030","CAS-2596511-W8F5S0","2013-05-21 20:54:22",,"CASE","==== CUST SAYS..= POWER STEERING FAILURE, WIFE WAS DRIVING ON THE FREEWAY AND THE ADVANCE TRAC FAILURE LIGHT CAME ON LOST POWER STEERING FAILED, WAS UNABLE TO TURN THE RACK. WAS ABLE TO REACH THE SIDE OF THE ROAD..= CAME DOWN TO THE VEH AND UPON RESTART WAS ABLE TO GET THE VEH TO THE DLRSHP..= BOTH TIMES THE VEH HAD BEEN RUNNING FOR ABOUT 20 MINUTE WINDOW BEFORE IT WENT OUT..= ANOTHER ISSUE OCCURRED THE NEXT DAY IT HAPPENED DURING A TURN, SHE GOT TO THE SHOULDER..= TOOK IT TO DLRSHP THE NEXT DAY AND THEY TESTED THE UNIT IT FAILED THE TEST..= EVIDENTLY THE CIRCUIT BOARD MOUNTED ON THE RACK AND PINION..= MAJOR SAFETY CONCERN, BEING TOLD ITΓÇÖS COVERED UNDER WARRANTY..= $1600 FOR JUST PART, 3 OR 4 HOURS BECAUSE WOULD HAVE TO BE ALIGNED AFTERWARD AS WELL..= UNDER WARRANTY HAD FLY WHEEL FAILURE, TRANSMISSION FAILURE AND STARTER ISSUES WITH THE VEH..= CONCERNED ABOUT LONG TERM OWNERSHIP OF THIS VEHICLE..= SEEKING FIN ASSISTANCE FOR THE REPAIR AND A RENTAL IF POSSIBLE..==== DLRSHP..= 05401 Cerritos Ford Lincoln..= 05453 Sunrise Ford of North Hollywood (secondary service)..= SERGIO, SA..==== CRC SAYS..I will escalate your case/request to our Ford Regional Customer Service Manager who works daily with your dealershipΓÇÖs management team (his/her name is MARK). The Ford Regional Customer Service Manager has access to all Ford resources and will use these resources to assist you and your dealership regarding your situation. The Ford Regional Customer Service Manager will receive the information you have just provided me and will do a thorough review on your behalf. You can expect a phone call from your Customer Service Manager within 2 business days. The case number that I have established for you today is CAS-2596511-W8F5S0...= VEH IS AT THE DLRSHP..= BEST CONTACT NUMBER 8182057820"
1306,"PE14-030","CAS-2596511-W8F5S0","2013-05-22 00:01:38",,"CASE","**cust seeking status update on case, has not heard back yet from csm....crc advised cust that he should receive a callback tomorrow before eob, advised to allow f/u time to occur"
1307,"PE14-030","CAS-2596511-W8F5S0","2013-05-25 23:27:43",,"CASE","OBC to s/a (REDACTED) @ (REDACTED) and was told it is repaired; replaced steering rack. Cust is seeking financial assistance. I offered the lesser of $650 or 50% of the warranty cost of $1300. RO9928, Ln#1, Total repair cost: $1300, Cust pay $650, Dlr pay $0, CLP $650, Approval Code M07DV, Program code P11. OBC to cust to provide his correct phone number. IBC from cust and he wants this covered 100%. I declined to provide more than 50% of the warranty pricing."
